meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,swim_time_as_time,alt_adjust_flag,converted_time_flag,elig_period_code,standard_name,RANK,full_desc_intl,fina_points,meet_city,country_code,time_is_for_ineligible_secondary_team_yn
Championnats de France Elite,21.42,04/03/2016,50 Freestyle LCM Male,FRA,France,"Manaudou, Florent",M,11/12/1990,55,1/1/1900 12:00:21 AM,,,,"""A""",1,50 Metres Freestyle Male LC,934,Montpellier,FRA,N
2016 Australian Champs,21.44,04/12/2016,50 Freestyle LCM Male,AUS,Australia,"McEvoy, Cameron",M,5/13/1994,55,1/1/1900 12:00:21 AM,,,,"""A""",2,50 Metres Freestyle Male LC,931,Adelaide,AUS,N
Mare Nostrum MONACO,21.62,06/05/2016,50 Freestyle LCM Male,UKR,Ukraine,"Govorov, Andrii",M,04/10/1992,55,1/1/1900 12:00:21 AM,,,,"""A""",3,50 Metres Freestyle Male LC,908,Montecarlo,MON,N
British Championships 2016,21.65,4/16/2016,50 Freestyle LCM Male,GBR,Great Britain,"Proud, Benjamin",M,9/21/1994,55,1/1/1900 12:00:21 AM,,,,"""A""",4,50 Metres Freestyle Male LC,904,Glasgow,GBR,N
2016 Mesa PSS,21.69,4/15/2016,50 Freestyle LCM Male,USA,United States,"Adrian, Nathan",M,12/07/1988,55,1/1/1900 12:00:21 AM,,,,"""A""",5,50 Metres Freestyle Male LC,899,Mesa,USA,N
Russian National Championships,21.69,4/16/2016,50 Freestyle LCM Male,RUS,Russia,"Morozov, Vladimir",M,6/16/1992,55,1/1/1900 12:00:21 AM,,,,"""A""",5,50 Metres Freestyle Male LC,899,Moscow,RUS,N
Maria Lenk Trophy - Test Event,21.74,4/20/2016,50 Freestyle LCM Male,BRA,Brazil,"Fratus, Bruno",M,6/30/1989,55,1/1/1900 12:00:21 AM,,,,"""A""",7,50 Metres Freestyle Male LC,893,Rio de Janeiro,BRA,N
128. Deutsche Meisterschaften 2016,21.81,05/08/2016,50 Freestyle LCM Male,GER,Germany,"Wierling, Damian",M,01/01/1996,55,1/1/1900 12:00:21 AM,,,,"""A""",8,50 Metres Freestyle Male LC,885,Berlin,,N
Maria Lenk Trophy - Test Event,21.82,4/20/2016,50 Freestyle LCM Male,BRA,Brazil,"Duarte, Italo",M,3/13/1992,55,1/1/1900 12:00:21 AM,,,,"""A""",9,50 Metres Freestyle Male LC,883,Rio de Janeiro,BRA,N
LEN European Aquatics Champs,21.89,5/16/2016,50 Freestyle LCM Male,GRE,Greece,"Gkolomeev, Kristian",M,07/04/1993,55,1/1/1900 12:00:21 AM,,,,"""A""",10,50 Metres Freestyle Male LC,875,London,GBR,N
National Spring Championships,21.91,4/22/2016,50 Freestyle LCM Male,ITA,Italy,"Dotto, Luca",M,4/18/1990,55,1/1/1900 12:00:21 AM,,,,"""A""",11,50 Metres Freestyle Male LC,872,Riccione,ITA,N
Maria Lenk Trophy - Test Event,21.91,4/20/2016,50 Freestyle LCM Male,BRA,Brazil,"Cielo, Cesar",M,01/10/1987,55,1/1/1900 12:00:21 AM,,,,"""A""",11,50 Metres Freestyle Male LC,872,Rio de Janeiro,BRA,N
LEN European Aquatics Champs,21.92,5/16/2016,50 Freestyle LCM Male,FIN,Finland,"Liukkonen, Ari-Pekka",M,02/09/1989,55,1/1/1900 12:00:21 AM,,,,"""A""",13,50 Metres Freestyle Male LC,871,London,GBR,N
Spanish Open National Championships ,21.95,3/19/2016,50 Freestyle LCM Male,POL,Poland,"Czerniak, Konrad",M,07/11/1989,55,1/1/1900 12:00:21 AM,,,,"""A""",14,50 Metres Freestyle Male LC,868,Sabadell,ESP,N
2016 Charlotte PSS,21.98,5/14/2016,50 Freestyle LCM Male,USA,United States,"Ervin, Anthony",M,5/26/1981,55,1/1/1900 12:00:21 AM,,,,"""A""",15,50 Metres Freestyle Male LC,864,Charlotte,USA,N
2016 Arena Pro Series at Orlan,22.06,03/04/2016,50 Freestyle LCM Male,USA,United States,"Dressel, Caeleb",M,8/16/1996,55,1/1/1900 12:00:22 AM,,,,"""A""",16,50 Metres Freestyle Male LC,855,Orlando,USA,N
National Spring Championships,22.06,4/22/2016,50 Freestyle LCM Male,ITA,Italy,"Bocchia, Federico",M,10/24/1986,55,1/1/1900 12:00:22 AM,,,,"""A""",16,50 Metres Freestyle Male LC,855,Riccione,ITA,N
LEN: European Championships,22.07,5/22/2016,50 Freestyle LCM Male,HUN,Hungary,"Takacs, Krisztian",M,12/30/1985,55,1/1/1900 12:00:22 AM,,,,"""A""",18,50 Metres Freestyle Male LC,854,London,GBR,N
2016 Australian Champs,22.08,04/12/2016,50 Freestyle LCM Male,AUS,Australia,"Abood, Matthew",M,6/28/1986,55,1/1/1900 12:00:22 AM,,,,"""A""",19,50 Metres Freestyle Male LC,852,Adelaide,AUS,N
Japan Swim 2016,22.09,04/10/2016,50 Freestyle LCM Male,JPN,Japan,"Nakamura, Katsumi",M,2/21/1994,55,1/1/1900 12:00:22 AM,,,,"""A""",20,50 Metres Freestyle Male LC,851,Tokyo,JPN,N
Championnats de France Elite,22.09,04/03/2016,50 Freestyle LCM Male,FRA,France,"Bousquet, Fred",M,04/08/1981,55,1/1/1900 12:00:22 AM,,,,"""A""",20,50 Metres Freestyle Male LC,851,Montpellier,FRA,N
2016 Canadian Olympic & Para S,22.1,04/10/2016,50 Freestyle LCM Male,LTU,Lithuania,"Bilis, Simonas",M,11/11/1993,55,1/1/1900 12:00:22 AM,,,,"""A""",22,50 Metres Freestyle Male LC,850,Toronto,CAN,N
Swiss National Championships 2016,22.12,3/13/2016,50 Freestyle LCM Male,RUS,Russia,"Grechin, Andrey",M,10/21/1987,55,1/1/1900 12:00:22 AM,,,,"""A""",23,50 Metres Freestyle Male LC,848,Zurich,SUI,N
2016 Australian Champs,22.12,04/12/2016,50 Freestyle LCM Male,AUS,Australia,"Magnussen, James",M,04/11/1991,55,1/1/1900 12:00:22 AM,,,,"""A""",23,50 Metres Freestyle Male LC,848,Adelaide,AUS,N
LEN: European Championships,22.12,5/21/2016,50 Freestyle LCM Male,ROU,Romania,"Trandafir, Norbert",M,02/08/1988,55,1/1/1900 12:00:22 AM,,,,"""A""",23,50 Metres Freestyle Male LC,848,London,GBR,N
Polish Championships,22.13,5/27/2016,50 Freestyle LCM Male,POL,Poland,"Wypych, Filip",M,4/20/1991,55,1/1/1900 12:00:22 AM,,,,"""A""",26,50 Metres Freestyle Male LC,847,Szczecin,POL,N
Sa National Aquatic Championships,22.13,4/15/2016,50 Freestyle LCM Male,RSA,South Africa,"Tandy, Brad",M,05/02/1991,55,1/1/1900 12:00:22 AM,,,,"""A""",26,50 Metres Freestyle Male LC,847,Durban,RSA,N
Polish Championships,22.13,5/27/2016,50 Freestyle LCM Male,POL,Poland,"Juraszek, Pawel",M,10/08/1994,55,1/1/1900 12:00:22 AM,,,,"""A""",26,50 Metres Freestyle Male LC,847,Szczecin,POL,N
Japan Swim 2016,22.14,04/10/2016,50 Freestyle LCM Male,JPN,Japan,"Shioura, Shinri",M,11/26/1991,55,1/1/1900 12:00:22 AM,,,,"""A""",29,50 Metres Freestyle Male LC,846,Tokyo,JPN,N
