First name,Family name,Country,Entry ,Time,Event,full_name,name_country,found_easy,possible_match,match_correct,new_swimmer,time_hundredths
Bronte ,Campbell ,AUS,A ,24.12,Women's 50 Freestyle,Bronte Campbell,Bronte Campbell AUS,TRUE,,FALSE,FALSE,2412
Bronte ,Campbell ,AUS,A ,52.52,Women's 100 Freestyle,Bronte Campbell,Bronte Campbell AUS,TRUE,,FALSE,FALSE,5252
Cate ,Campbell ,AUS,A ,23.84,Women's 50 Freestyle,Cate Campbell,Cate Campbell AUS,TRUE,,FALSE,FALSE,2384
Cate ,Campbell ,AUS,A ,52.38,Women's 100 Freestyle,Cate Campbell,Cate Campbell AUS,TRUE,,FALSE,FALSE,5238
Birgit ,Koschischek ,AUT,A ,25.17,Women's 50 Freestyle,Birgit Koschischek,Birgit Koschischek AUT,FALSE,,FALSE,TRUE,2517
Arianna ,Vanderpool-Wallace ,BAH,A ,24.31,Women's 50 Freestyle,Arianna Vanderpool-Wallace,Arianna Vanderpool-Wallace BAH,TRUE,,FALSE,FALSE,2431
Arianna ,Vanderpool-Wallace ,BAH,A ,53.97,Women's 100 Freestyle,Arianna Vanderpool-Wallace,Arianna Vanderpool-Wallace BAH,TRUE,,FALSE,FALSE,5397
Arianna ,Vanderpool-Wallace ,BAH,B ,58.87,Women's 100 Butterfly,Arianna Vanderpool-Wallace,Arianna Vanderpool-Wallace BAH,TRUE,,FALSE,FALSE,5887
Aliaksandra ,Herasimenia ,BLR,A ,24.52,Women's 50 Freestyle,Aliaksandra Herasimenia,Aliaksandra Herasimenia BLR,TRUE,,FALSE,FALSE,2452
Aliaksandra ,Herasimenia ,BLR,A ,53.71,Women's 100 Freestyle,Aliaksandra Herasimenia,Aliaksandra Herasimenia BLR,TRUE,,FALSE,FALSE,5371
Yuliya ,Khitraya ,BLR,A ,25.04,Women's 50 Freestyle,Yuliya Khitraya,Yuliya Khitraya BLR,TRUE,,FALSE,FALSE,2504
Etiene ,Medeiros ,BRA,A ,24.55,Women's 50 Freestyle,Etiene Medeiros,Etiene Medeiros BRA,TRUE,,FALSE,FALSE,2455
Etiene ,Medeiros ,BRA,A ,54.26,Women's 100 Freestyle,Etiene Medeiros,Etiene Medeiros BRA,TRUE,,FALSE,FALSE,5426
Etiene ,Medeiros ,BRA,A ,59.61,Women's 100 Backstroke,Etiene Medeiros,Etiene Medeiros BRA,TRUE,,FALSE,FALSE,5961
Graciele ,Herrmann ,BRA,A ,24.92,Women's 50 Freestyle,Graciele Herrmann,Graciele Herrmann BRA,TRUE,,FALSE,FALSE,2492
Chantal ,Van Landeghem ,CAN,A ,24.39,Women's 50 Freestyle,Chantal Van Landeghem,Chantal Van Landeghem CAN,TRUE,,FALSE,FALSE,2439
Chantal ,Van Landeghem ,CAN,A ,53.83,Women's 100 Freestyle,Chantal Van Landeghem,Chantal Van Landeghem CAN,TRUE,,FALSE,FALSE,5383
Michelle ,Williams ,CAN,A ,24.82,Women's 50 Freestyle,Michelle Williams,Michelle Williams CAN,TRUE,,FALSE,FALSE,2482
Xinyi ,Chen ,CHN,A ,24.53,Women's 50 Freestyle,Xinyi Chen,Xinyi Chen CHN,TRUE,,FALSE,FALSE,2453
Xinyi ,Chen ,CHN,A ,56.82,Women's 100 Butterfly,Xinyi Chen,Xinyi Chen CHN,TRUE,,FALSE,FALSE,5682
Xiang ,Liu ,CHN,A ,24.75,Women's 50 Freestyle,Xiang Liu,Xiang Liu CHN,TRUE,,FALSE,FALSE,2475
Pernille ,Blume ,DEN,A ,24.47,Women's 50 Freestyle,Pernille Blume,Pernille Blume DEN,TRUE,,FALSE,FALSE,2447
Pernille ,Blume ,DEN,A ,54.26,Women's 100 Freestyle,Pernille Blume,Pernille Blume DEN,TRUE,,FALSE,FALSE,5426
