name_country,found_easy,surname_country,surname_found,possible_match,match_correct,new_swimmer,country,name
Marco Belotti ITA,FALSE,Belotti ITA,FALSE,,FALSE,TRUE,ITA,Marco Belotti
Cameron Kurle GBR,FALSE,Kurle GBR,FALSE,,FALSE,TRUE,GBR,Cameron Kurle
Anja Crevar SRB,FALSE,Crevar SRB,FALSE,,FALSE,TRUE,SRB,Anja Crevar
Oussama Mellouli TUN,FALSE,Mellouli TUN,FALSE,,FALSE,TRUE,TUN,Oussama Mellouli
Miguel Valente BRA,FALSE,Valente BRA,FALSE,,FALSE,TRUE,BRA,Miguel Valente
Birgit Koschischek AUT,FALSE,Koschischek AUT,FALSE,,FALSE,TRUE,AUT,Birgit Koschischek
Yoosun Nam KOR,FALSE,Nam KOR,FALSE,,FALSE,TRUE,KOR,Yoosun Nam
Marcos Antonio Macedo BRA,FALSE,Macedo BRA,FALSE,,FALSE,TRUE,BRA,Marcos Antonio Macedo
Kyuwoong Choi KOR,FALSE,Choi KOR,FALSE,,FALSE,TRUE,KOR,Kyuwoong Choi
Yannick Kaeser SUI,FALSE,Kaeser SUI,FALSE,,FALSE,TRUE,SUI,Yannick Kaeser
Francois Heersbrandt BEL,FALSE,Heersbrandt BEL,FALSE,,FALSE,TRUE,BEL,Francois Heersbrandt
Jasper Aerents BEL,FALSE,Aerents BEL,FALSE,,FALSE,TRUE,BEL,Jasper Aerents
Daria Chikunova RUS,FALSE,Chikunova RUS,FALSE,,FALSE,TRUE,RUS,Daria Chikunova
Thiago Simon BRA,FALSE,Simon BRA,FALSE,,FALSE,TRUE,BRA,Thiago Simon
Yauhen Tsurkin BLR,FALSE,Tsurkin BLR,FALSE,,FALSE,TRUE,BLR,Yauhen Tsurkin
Julie Meynen LUX,FALSE,Meynen LUX,FALSE,,FALSE,TRUE,LUX,Julie Meynen
David Brandl AUT,FALSE,Brandl AUT,FALSE,,FALSE,TRUE,AUT,David Brandl
Katarzyna Wilk POL,FALSE,Wilk POL,FALSE,,FALSE,TRUE,POL,Katarzyna Wilk
Nezir Karap TUR,FALSE,Karap TUR,FALSE,,FALSE,TRUE,TUR,Nezir Karap
Alexandre Haldemann SUI,FALSE,Haldemann SUI,FALSE,,FALSE,TRUE,SUI,Alexandre Haldemann
Barbora Seemanova CZE,FALSE,Seemanova CZE,FALSE,,FALSE,TRUE,CZE,Barbora Seemanova
Jorge Murillo Valdes COL,FALSE,Valdes COL,FALSE,,FALSE,TRUE,COL,Jorge Murillo Valdes
Katarina Simonovic SRB,FALSE,Simonovic SRB,FALSE,,FALSE,TRUE,SRB,Katarina Simonovic
Dmytro Oseledets UKR,FALSE,Oseledets UKR,FALSE,,FALSE,TRUE,UKR,Dmytro Oseledets
Keyuan Shang CHN,FALSE,Shang CHN,FALSE,,FALSE,TRUE,CHN,Keyuan Shang
Dylan Carter TRI,FALSE,Carter TRI,FALSE,,FALSE,TRUE,TRI,Dylan Carter
Joerdis Steinegger AUT,FALSE,Steinegger AUT,FALSE,,FALSE,TRUE,AUT,Joerdis Steinegger
Tjasa Vozel SLO,FALSE,Vozel SLO,FALSE,,FALSE,TRUE,SLO,Tjasa Vozel
Luis Martinez GUA,FALSE,Martinez GUA,FALSE,,FALSE,TRUE,GUA,Luis Martinez
Pal Joensen DEN,FALSE,Joensen DEN,FALSE,,FALSE,TRUE,DEN,Pal Joensen
Tanja Kylliainen FIN,FALSE,Kylliainen FIN,FALSE,,FALSE,TRUE,FIN,Tanja Kylliainen
Basten Caerts BEL,FALSE,Caerts BEL,FALSE,,FALSE,TRUE,BEL,Basten Caerts
Lena Kreund AUT,FALSE,Kreund AUT,FALSE,,FALSE,TRUE,AUT,Lena Kreund
Andrius Sidlauskas LTU,FALSE,Sidlauskas LTU,FALSE,,FALSE,TRUE,LTU,Andrius Sidlauskas
Stina Gardell SWE,FALSE,Gardell SWE,FALSE,,FALSE,TRUE,SWE,Stina Gardell
Danielle Villars SUI,FALSE,Villars SUI,FALSE,,FALSE,TRUE,SUI,Danielle Villars
Dimitrios Dimitriou GRE,FALSE,Dimitriou GRE,FALSE,,FALSE,TRUE,GRE,Dimitrios Dimitriou
Erik Risolvato PUR,FALSE,Risolvato PUR,FALSE,,FALSE,TRUE,PUR,Erik Risolvato
Fora Molnar HUN,FALSE,Molnar HUN,FALSE,,FALSE,TRUE,HUN,Fora Molnar
Long Gutierrez MEX,FALSE,Gutierrez MEX,FALSE,,FALSE,TRUE,MEX,Long Gutierrez
Vanessa Garcia Vega PUR,FALSE,Vega PUR,FALSE,,FALSE,TRUE,PUR,Vanessa Garcia Vega
Laurent Carnol LUX,FALSE,Carnol LUX,FALSE,,FALSE,TRUE,LUX,Laurent Carnol
Ahmed Mathlouthi TUN,FALSE,Mathlouthi TUN,FALSE,,FALSE,TRUE,TUN,Ahmed Mathlouthi
Uvis Kalnins LAT,FALSE,Kalnins LAT,FALSE,,FALSE,TRUE,LAT,Uvis Kalnins
Katarzyna Baranowska POL,FALSE,Baranowska POL,FALSE,,FALSE,TRUE,POL,Katarzyna Baranowska
Arina Openysheva RUS,FALSE,Openysheva RUS,FALSE,,FALSE,TRUE,RUS,Arina Openysheva
George Bovell TRI,FALSE,Bovell TRI,FALSE,,FALSE,TRUE,TRI,George Bovell
Amit Ivri ISR,FALSE,Ivri ISR,FALSE,,FALSE,TRUE,ISR,Amit Ivri
Camille Cheng HKG,FALSE,Cheng HKG,FALSE,,FALSE,TRUE,HKG,Camille Cheng
Gergo Kis HUN,FALSE,Kis HUN,FALSE,,FALSE,TRUE,HUN,Gergo Kis
Bence Pulai HUN,FALSE,Pulai HUN,FALSE,,FALSE,TRUE,HUN,Bence Pulai
Renzo Tjon A Joe SUR,FALSE,Joe SUR,FALSE,,FALSE,TRUE,SUR,Renzo Tjon A Joe
Mohamed Hussein EGY,FALSE,Hussein EGY,FALSE,,FALSE,TRUE,EGY,Mohamed Hussein
Martin Naidich ARG,FALSE,Naidich ARG,FALSE,,FALSE,TRUE,ARG,Martin Naidich
Tomas Klobucnik SVK,FALSE,Klobucnik SVK,FALSE,,FALSE,TRUE,SVK,Tomas Klobucnik
Ricardo David Vargas Jacobo MEX,FALSE,Jacobo MEX,FALSE,,FALSE,TRUE,MEX,Ricardo David Vargas Jacobo
Ziv Kalontarov ISR,FALSE,Kalontarov ISR,FALSE,,FALSE,TRUE,ISR,Ziv Kalontarov
Amit Ivry ISR,FALSE,Ivry ISR,FALSE,,FALSE,TRUE,ISR,Amit Ivry
Akaram Mahmoud EGY,FALSE,Mahmoud EGY,FALSE,,FALSE,TRUE,EGY,Akaram Mahmoud
Lili Ibanez Lopez MEX,FALSE,Lopez MEX,FALSE,,FALSE,TRUE,MEX,Lili Ibanez Lopez
Jeremy Desplanches SUI,FALSE,Desplanches SUI,FALSE,,FALSE,TRUE,SUI,Jeremy Desplanches
