meet_name,swim_time_relay,swim_date,full_desc,full_desc_intl,team_code,team_short_name,gender,event_id,swim_time_relay_as_time,sort_order,alt_adjust_flag,converted_time_flag,standard_name,rank,leg1_full_name,leg2_full_name,leg3_full_name,leg4_full_name,club_secondary_team_id,secondary_organization_level1_id,swim_time_relay1,eligible_yn,fina_points,meet_city,country_code,time_is_for_ineligible_secondary_team_yn
"2015 BHP Aquatic Super Series","1:37.68","1/30/2015","200 F FR-R LCM","4x50 Metres Freestyle Relay Female LC","AUS","Australia","F","77","1/1/1900 12:01:37 AM","770","","","n/a","1","Elmslie, Brittany","McKeon, Emma","Campbell, Cate","Campbell, Bronte","330","147","1/1/1900 12:01:37 AM","Y","0","Perth","AUS","N"
"2015 BHP Aquatic Super Series","1:40.02","1/30/2015","200 F FR-R LCM","4x50 Metres Freestyle Relay Female LC","USA","United States","F","77","1/1/1900 12:01:40 AM","770","","","n/a","2","Kennedy, Madison James","Geer, Margo Marie","Lee, Felicia Francesca","Meili, Catherine Michelle","515","323","1/1/1900 12:01:40 AM","Y","0","Perth","AUS","N"
"2016 Perth Aquatic Super Serie","1:41.67","2/5/2016","200 F FR-R LCM","4x50 Metres Freestyle Relay Female LC","CHN","China","F","77","1/1/1900 12:01:41 AM","770","","","n/a","3","Zhu, Menghui","AI, Yanhan","Liu, Xiang","Shen, Duo","462","231","1/1/1900 12:01:41 AM","Y","0","Perth","","N"
"2016 Perth Aquatic Super Serie","1:42.77","2/5/2016","200 F FR-R LCM","4x50 Metres Freestyle Relay Female LC","JPN","Japan","F","77","1/1/1900 12:01:42 AM","770","","","n/a","4","Matsumoto, Yayori","Moronuki, Emi","Kobayashi, Nao","Igarashi, Chihiro","411","238","1/1/1900 12:01:42 AM","Y","0","Perth","","N"
"67th Annual Husky Invitational","1:49.14","1/22/2016","200 F FR-R LCM","4x50 Metres Freestyle Relay Female LC","CAN","Canada","F","77","1/1/1900 12:01:49 AM","770","","","n/a","5","Terejko, Rebecca","Strydom, Jacomie","Stamp, Katherine","Serka, Stefanie","352","132","1/1/1900 12:01:49 AM","Y","0","Federal Way","","N"
"2015 BHP Aquatic Super Series","1:27.93","1/31/2015","200 M FR-R LCM","4x50 Metres Freestyle Relay Male LC","USA","United States","M","77","1/1/1900 12:01:27 AM","770","","","n/a","1","Schneider, Josh James","Feigen, James Ernest","Lochte, Ryan Steven","Jones, Cullen Andrew","515","323","1/1/1900 12:01:27 AM","Y","0","Perth","AUS","N"
"2015 BHP Aquatic Super Series","1:28.35","1/31/2015","200 M FR-R LCM","4x50 Metres Freestyle Relay Male LC","AUS","Australia","M","77","1/1/1900 12:01:28 AM","770","","","n/a","2","McEvoy, Cameron","Hadler, Jayden","Magnussen, James","D'Orsogna, Tommaso","330","147","1/1/1900 12:01:28 AM","Y","0","Perth","AUS","N"
"2016 Perth Aquatic Super Serie","1:29.60","2/6/2016","200 M FR-R LCM","4x50 Metres Freestyle Relay Male LC","JPN","Japan","M","77","1/1/1900 12:01:29 AM","770","","","n/a","3","Shioura, Shinri","Fujii, Takuro","Kawamoto, Takeshi","Fujimori, Hiromasa","411","238","1/1/1900 12:01:29 AM","Y","0","Perth","","N"
"2015 BHP Aquatic Super Series","1:30.78","1/31/2015","200 M FR-R LCM","4x50 Metres Freestyle Relay Male LC","CHN","China","M","77","1/1/1900 12:01:30 AM","770","","","n/a","4","Wang, Shun","Shi, Yang","Li, Guangyuan","Yu, Hexin","462","231","1/1/1900 12:01:30 AM","Y","0","Perth","AUS","N"
"67th Annual Husky Invitational","1:36.87","1/22/2016","200 M FR-R LCM","4x50 Metres Freestyle Relay Male LC","CAN","Canada","M","77","1/1/1900 12:01:36 AM","770","","","n/a","5","Parker, Marshal","Fry, Darian","Brown, Jonathan","Wolk, Karl Stanislaw","352","132","1/1/1900 12:01:36 AM","Y","0","Federal Way","","N"
"16th FINA WORLD CHAMPIONSHIPS","3:31.48","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","AUS","Australia","F","78","1/1/1900 12:03:31 AM","780","","","n/a","1","Seebohm, Emily","McKeon, Emma","Campbell, Bronte","Campbell, Cate","330","147","1/1/1900 12:03:31 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:33.67","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","NED","Netherlands","F","78","1/1/1900 12:03:33 AM","780","","","n/a","2","Kromowidjojo, Ranomi","Van Der Meer, Maud","Steenbergen, Marrit","Heemskerk, Femke","447","296","1/1/1900 12:03:33 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:34.61","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","USA","United States","F","78","1/1/1900 12:03:34 AM","780","","","n/a","3","Franklin, Melissa Jeanette","Geer, Margo Marie","Neal, Lia Maria","Manuel, Simone Ashley","515","323","1/1/1900 12:03:34 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:35.71","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","SWE","Sweden","F","78","1/1/1900 12:03:35 AM","780","","","n/a","4","Coleman, Michelle","Hansson, Louise","Sjostrom, Sarah Fredrica","Kuras, Magdalena","497","300","1/1/1900 12:03:35 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:36.44","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","CAN","Canada","F","78","1/1/1900 12:03:36 AM","780","","","n/a","5","Mainville, Sandrine","Williams, Michelle","Van Landeghem, Chantal","Savard, Katerine","352","132","1/1/1900 12:03:36 AM","Y","0","Kazan","RUS","N"
"16th FINA WORLD CHAMPIONSHIPS","3:37.16","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","ITA","Italy","F","78","1/1/1900 12:03:37 AM","780","","","n/a","6","Ferraioli, Erika","Di Pietro, Silvia","Letrari, Laura","Pellegrini, Federica","408","288","1/1/1900 12:03:37 AM","Y","0","Kazan","RUS","N"
"2015 Pan American Games","3:37.39","7/14/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","BRA","Brazil","F","78","1/1/1900 12:03:37 AM","780","","","n/a","7","Oliveira, Larissa","Herrmann, Graciele","Medeiros, Etiene Pires","De Paula, Daynara","344","198","1/1/1900 12:03:37 AM","Y","0","Toronto","CAN","N"
"16th FINA WORLD CHAMPIONSHIPS","3:37.64","8/2/2015","400 F FR-R LCM","4x100 Metres Freestyle Relay Female LC","CHN","China","F","78","1/1/1900 12:03:37 AM","780","","","n/a","8","Zhu, Menghui","Tang, Yuting","Fang, Yi","Shen, Duo","462","231","1/1/1900 12:03:37 AM","Y","0","Kazan","RUS","N"
