country,event
USA,Women's 4x200 Metres Freestyle Relay
ITA,Women's 4x200 Metres Freestyle Relay
CHN,Women's 4x200 Metres Freestyle Relay
SWE,Women's 4x200 Metres Freestyle Relay
GBR,Women's 4x200 Metres Freestyle Relay
AUS,Women's 4x200 Metres Freestyle Relay
ESP,Women's 4x200 Metres Freestyle Relay
JPN,Women's 4x200 Metres Freestyle Relay
FRA,Women's 4x200 Metres Freestyle Relay
RUS,Women's 4x200 Metres Freestyle Relay
BRA,Women's 4x200 Metres Freestyle Relay
CAN,Women's 4x200 Metres Freestyle Relay
GER,Women's 4x200 Metres Freestyle Relay
NED,Women's 4x200 Metres Freestyle Relay
HUN,Women's 4x200 Metres Freestyle Relay
SLO,Women's 4x200 Metres Freestyle Relay
CHN,Women's 4x100 Metres Medley Relay
SWE,Women's 4x100 Metres Medley Relay
USA,Women's 4x100 Metres Medley Relay
DEN,Women's 4x100 Metres Medley Relay
AUS,Women's 4x100 Metres Medley Relay
CAN,Women's 4x100 Metres Medley Relay
GBR,Women's 4x100 Metres Medley Relay
JPN,Women's 4x100 Metres Medley Relay
ITA,Women's 4x100 Metres Medley Relay
GER,Women's 4x100 Metres Medley Relay
FIN,Women's 4x100 Metres Medley Relay
FRA,Women's 4x100 Metres Medley Relay
BRA,Women's 4x100 Metres Medley Relay
RUS,Women's 4x100 Metres Medley Relay
CZE,Women's 4x100 Metres Medley Relay
HKG,Women's 4x100 Metres Medley Relay
AUS,Women's 4x100 Metres Freestyle Relay
NED,Women's 4x100 Metres Freestyle Relay
SWE,Women's 4x100 Metres Freestyle Relay
FRA,Women's 4x100 Metres Freestyle Relay
USA,Women's 4x100 Metres Freestyle Relay
CAN,Women's 4x100 Metres Freestyle Relay
ITA,Women's 4x100 Metres Freestyle Relay
BRA,Women's 4x100 Metres Freestyle Relay
CHN,Women's 4x100 Metres Freestyle Relay
JPN,Women's 4x100 Metres Freestyle Relay
RUS,Women's 4x100 Metres Freestyle Relay
ESP,Women's 4x100 Metres Freestyle Relay
POL,Women's 4x100 Metres Freestyle Relay
SUI,Women's 4x100 Metres Freestyle Relay
ISR,Women's 4x100 Metres Freestyle Relay
DEN,Women's 4x100 Metres Freestyle Relay
AUS,Men's 4x200 Metres Freestyle Relay
GBR,Men's 4x200 Metres Freestyle Relay
USA,Men's 4x200 Metres Freestyle Relay
NED,Men's 4x200 Metres Freestyle Relay
BEL,Men's 4x200 Metres Freestyle Relay
POL,Men's 4x200 Metres Freestyle Relay
GER,Men's 4x200 Metres Freestyle Relay
FRA,Men's 4x200 Metres Freestyle Relay
RUS,Men's 4x200 Metres Freestyle Relay
ESP,Men's 4x200 Metres Freestyle Relay
JPN,Men's 4x200 Metres Freestyle Relay
RSA,Men's 4x200 Metres Freestyle Relay
DEN,Men's 4x200 Metres Freestyle Relay
BRA,Men's 4x200 Metres Freestyle Relay
HUN,Men's 4x200 Metres Freestyle Relay
ITA,Men's 4x200 Metres Freestyle Relay
USA,Men's 4x100 Metres Medley Relay
AUS,Men's 4x100 Metres Medley Relay
FRA,Men's 4x100 Metres Medley Relay
GBR,Men's 4x100 Metres Medley Relay
JPN,Men's 4x100 Metres Medley Relay
GER,Men's 4x100 Metres Medley Relay
BRA,Men's 4x100 Metres Medley Relay
POL,Men's 4x100 Metres Medley Relay
RSA,Men's 4x100 Metres Medley Relay
RUS,Men's 4x100 Metres Medley Relay
CAN,Men's 4x100 Metres Medley Relay
ITA,Men's 4x100 Metres Medley Relay
CHN,Men's 4x100 Metres Medley Relay
LTU,Men's 4x100 Metres Medley Relay
CRO,Men's 4x100 Metres Medley Relay
GRE,Men's 4x100 Metres Medley Relay
HUN,Men's 4x100 Metres Medley Relay
FRA,Men's 4x100 Metres Freestyle Relay
AUS,Men's 4x100 Metres Freestyle Relay
ITA,Men's 4x100 Metres Freestyle Relay
BRA,Men's 4x100 Metres Freestyle Relay
POL,Men's 4x100 Metres Freestyle Relay
BEL,Men's 4x100 Metres Freestyle Relay
CAN,Men's 4x100 Metres Freestyle Relay
JPN,Men's 4x100 Metres Freestyle Relay
CHN,Men's 4x100 Metres Freestyle Relay
GER,Men's 4x100 Metres Freestyle Relay
USA,Men's 4x100 Metres Freestyle Relay
ESP,Men's 4x100 Metres Freestyle Relay
CRO,Men's 4x100 Metres Freestyle Relay
GRE,Men's 4x100 Metres Freestyle Relay
HUN,Men's 4x100 Metres Freestyle Relay
ROU,Men's 4x100 Metres Freestyle Relay
RUS,Men's 4x100 Metres Freestyle Relay
