Event,Date
Men’s 400m IM,06/08/2016
Women’s 100m Fly,06/08/2016
Men’s 400m Free,06/08/2016
Women’s 400m IM,06/08/2016
Men’s 100m Breast,06/08/2016
Women’s 4 x 100m Free Relay,06/08/2016
"SATURDAY, AUG 6TH",06/08/2016
Men’s 400m IM – Final,06/08/2016
Women’s 100m Fly – Semifinal,06/08/2016
Men’s 400m Free – Final,06/08/2016
Women’s 400m IM – Final,06/08/2016
Men’s 100m Breast – Semifinal,06/08/2016
Women’s 4 x 100m Free Relay – Final,06/08/2016
"SUNDAY, AUG 7TH",07/08/2016
Women’s 100m Back,07/08/2016
Men’s 200m Free,07/08/2016
Women’s 100m Breast,07/08/2016
Men’s 100m Back,07/08/2016
Women’s 400m Free,07/08/2016
Men’s 4 x 100m Free Relay,07/08/2016
"SUNDAY, AUG 7TH",07/08/2016
Women’s 100m Fly – Final,07/08/2016
Men’s 200m Free – Semifinal,07/08/2016
Women’s 100m Breast – Semifinal,07/08/2016
Men’s 100m Breast – Final,07/08/2016
Women’s 400m Free – Final,07/08/2016
Men’s 100m Back – Semifinal,07/08/2016
Women’s 100m Back – Semifinal,07/08/2016
Men’s 4 x 100m Free Relay – Final,07/08/2016
Women’s 200m Free,08/08/2016
Men’s 200m Fly,08/08/2016
Women’s 200m IM,08/08/2016
Women’s 200m Free – Semifinal,08/08/2016
Men’s 200m Free – Final,08/08/2016
Women’s 100m Back – Final,08/08/2016
Men’s 100m Back – Final,08/08/2016
Women’s 100m Breast – Final,08/08/2016
Men’s 200m Fly – Semifinal,08/08/2016
Women’s 200m IM — Semifinal,08/08/2016
"TUESDAY, AUG 9TH",08/08/2016
Men’s 100m Free,09/08/2016
Women’s 200m Fly,09/08/2016
Men’s 200m Breast,09/08/2016
Men’s 4 x 200m Freestyle Relay,09/08/2016
"TUESDAY, AUG 9TH",09/08/2016
Men’s 100m Free – Semifinal,09/08/2016
Women’s 200m Free – Final,09/08/2016
Men’s 200m Fly – Final,09/08/2016
Women’s 200m Fly – Semifinal,09/08/2016
Men’s 200m Breast – Semifinal,09/08/2016
Women’s 200m IM – Final,09/08/2016
Men’s 4 x 200m Freestyle Relay – Final,09/08/2016
"WEDNESDAY, AUG 10TH",09/08/2016
Women’s 100m Free,10/08/2016
Men’s 200m Back,10/08/2016
Women’s 200m Breast,10/08/2016
Men’s 200m IM,10/08/2016
Women’s 4 x 200m Freestyle Relay,10/08/2016
"WEDNESDAY, AUG 10TH",10/08/2016
Men’s 200m Breast – Final,10/08/2016
Women’s 100m Free – Semifinal,10/08/2016
Men’s 200m Back – Semifinal,10/08/2016
Women’s 200m Fly – Final,10/08/2016
Men’s 100m Free – Final,10/08/2016
Women’s 200m Breast – Semifinal,10/08/2016
Men’s 200m IM – Semifinal,10/08/2016
Women’s 4 x 200m Freestyle Relay – Final,10/08/2016
"THURSDAY, AUG 11TH",10/08/2016
Men’s 50m Free,11/08/2016
Women’s 800m Free,11/08/2016
Men’s 100m Fly,11/08/2016
Women’s 200m Back,11/08/2016
"THURSDAY, AUG 11TH",11/08/2016
Men’s 50m Free – Semifinal,11/08/2016
Women’s 200m Breast – Final,11/08/2016
Men’s 200m Back – Final,11/08/2016
Women’s 200m Back – Semifinal,11/08/2016
Men’s 200m IM – Final,11/08/2016
Women’s 100m Free – Final,11/08/2016
Men’s 100m Fly – Semifinal,11/08/2016
"FRIDAY, AUG 12TH",11/08/2016
Women’s 50m Free,12/08/2016
Men’s 1500m Free,12/08/2016
Women’s 4 x 100m Medley Relay,12/08/2016
Men’s 4 x 100m Medley Relay,12/08/2016
"FRIDAY, AUG 12TH",12/08/2016
Women’s 200m Back – Final,12/08/2016
Men’s 100m Fly – Final,12/08/2016
Women’s 800m Free – Final,12/08/2016
Men’s 50m Free – Final,12/08/2016
Women’s 50m Free – Semifinal,12/08/2016
"SATURDAY, AUG 13TH",12/08/2016
No Preliminaries,12/08/2016
"SATURDAY, AUG 13TH",12/08/2016
Women’s 50m Free – Final,13/08/2016
Men’s 1500m Free – Final,13/08/2016
Women’s 4 x 100m Medley Relay – Final,13/08/2016
Men’s 4 x 100m Medley Relay – Final,13/08/2016
